KGun_ID,Kuni_ID,M17G_ID,Ken_Nm,Kuni_Nm,Gun_Nm,MeijiYear,Notes,RSI_19Sep07,RSIX19Sep07,RSI_11Sep07,RSIX11Sept07,RSI_9Jun07,RSIX9Jun07,CPZ,Hi_LUH,Sum_Pop,URC,Pct_class,Size_class,Pct_Urb,AreaGIS,Calc_Pop,JPT_ID,G277,G278,G001_cho,G001_km2,G002_cho,G282_km2,G1_G2,Missing,G4_G5,G004_cho,G005_cho,G006_cho,G007_yen,G009_cho,G010_yen,G137,G402_cho,G405_cho,G016_cho,G016_km2,G408_cho,G398,G399,G021,g021P,g015R,g21_g305,G347,G026,G032,G033,G034,G035,G036,G037,G038,G039,G301,G302,G303,G304,G305,G306,G316,G318,G319,G320,G321,G322,G323,G336,G337,G040,G041,G338,G339,G340,G341,G029,G030,G031,G348,G283,G284,G285,g303_g285,G286,G525,G523,G042,G043,G044,G045,G046,G047,G324,G325,G326,G360,G361,G362,G054,G055,G056,G057,G063,G064,G065,g41,g42,G077,G078,G085,G086,G090,G092,G095,G099,G100,G751,G752,G108,g56,g57,G111,G112,G119,g60a,g60b,G120,G121,G122,G123,G124,G359,G125,g287,G126,G329,g288,G127,G130,G131,G128,G134,G135,G133,G307,G308,G309,G141,G142,G145,G152,G153,G310,G158,G159,G160,G1080,G313,G334,G335,G161,G162,g85,g86,g87,g88,G203,G206,G260,G263,G114,g94,g95,g96,g97,g94_97,g94_sum,g94_,g94r,g94c,g94k,g95conv,g95_hash,g95r,g95c,g95k,g96conv,g96_hash,g96r,g96c,g96k,g97conv,g97_hash,g97r,g97c,g97k,g98a,g99b
101,1,1,Aomori,Mutsu,Higashitsugaru,M20,,97.22465272,3,90.05080222,5,88.75519676,5,5,5,16557,4,2,2,23.73967653,1364,16557,01011,page 138 東北編,,29488.3,292.523936,256807.6,1363.92,286295.9,137533.5283,286295.9,10950.1,275345.8,8450.9,2002473,2499.2,158113,2160586,322.7,113.2,722,7.16224,1090.8,11672.1,285573.9,10810,3.784181314,40907,-561,11371,63,443,15,699,1169,10562,351,24149,32233,458,1868,10913,56382,11371,58250,69621,2326,67295,1142,1184,34711,32584,35853,33768,0,1,1,35853,33769,69622,69744,35382,34362,40907,35382,34362,69744,,10810,6.451803885,102.9683953,1341,971,370,713,538,175,366,-195,-628,1509,545,2054,504,,9958,51010,82,6940,258816.1105,See #94-97,See #94-97,60517,481,7413,6522,21,30,21,1.2,0.75,14,7,1068,022,024,188,335,1375,1240,135,344,169,284,220,223,871,146,1.070444014,27,173,12.68402839,13445,4115,916,5031,142,30,172,4257,946,5203,82325.689,59846.268,49877.1,4528,807,5335,16933,3163,11821,13402.5,31917,6036,5335,52,42,05,045,068,,12,406,5,31810.7,1978,14.09212963,0.199537037,17.66666667,7,255.1337963,38.95833334,,14,3,19,0.199537037,,,7,11,17.66666667,,17,24,0,7,,7,0,0,80,1898
102,1,2,Aomori,Mutsu,Nishitsugaru,M20,,93.44935915,4,88.98847401,5,86.36051027,5,5,6,9708,5,3,3,16.19160398,1106,9708,01021,page 138 東北編,,21977.8,218.019776,158836.3,1106.23,180814.1,111548.8555,180814.2,12045.7,168768.5,9838.5,2039448,2207.2,163463,2202911,333.8,138.4,694.1,6.885472,742.9,12739.8,180120,9112,7.527326602,68589,-499,9611,52,157,2,326,414,9261,191,21464,28823,159,740,9452,50287,9611,51027,60638,899,59739,483,416,30725,29014,31208,29430,0,0,0,31208,29430,60638,59957,30646,29311,68589,30646,29311,59957,,9112,6.58000439,104.5546041,543,390,153,548,353,195,5,-37,42,743,348,1091,,,,,99,6810,138964.6404,,,80623,778,6867,5934,17,,20,0.733,0.43,12.72,468,13,028,034,62,63,1397,1292,105,541,83,258,169,241,970,144,1.301718449,28,172,15.5483037,11852,2651,369,3020,25,1,26,2676,370,3046,79270.278,59842.587,50641.82,5767,1344,7111,9156,3564,3784,5566,16504,2500,7111,5,9,,0672,084,,2,257,8,13298.3,1936,0,0,26.34444444,6.85,192.3166666,33.19444444,,,,,,,,,.,26.34444444,,26,12,24,6.85,,6,30,36,25,1911
103,1,3,Aomori,Mutsu,Nakatsugaru Incl Hirosaki),M20,,92.70388525,4,90.49118631,5,90.69532589,5,4,4,32621,3,1,1,42.41009907,768,32621,01031,page 138 東北編,,22038.3,218.619936,85796,767.83,107834.3,77425.63275,107834.3,9892.6,97941.7,6248,1984079,3644.6,285538,2269617,381.1,135.6,831.1,8.244512,937.9,10723.7,107003.2,13204,7.504165404,99085,-779,13983,46,3034,101,5064,7957,10586,262,21153,30642,3135,13021,10848,51795,13983,64816,78799,16156,62643,8098,8058,31739,30904,39837,38962,1,0,1,39838,38962,78800,76918,38507,38411,99085,38507,38411,76918,,13204,5.825355953,100.2499284,1218,769,449,570,357,213,-648,-412,-236,1126,662,1788,402,282,107,143,135,5698,80736.0225,,,53830,100,16175,24022,20,20,243,1.066,0.731,15.2,62,14,013,012,205,591,1565,1296,269,341,194,357,135,269,1073,121,1.575869659,70,191,24.87529792,16147,5175,933,6108,411,55,466,5586,988,6574,132535.23,60816.949,47132.8,7010,1320,8330,2968,1660,1300,2130,5928,5653,8330,9,12,,,,,12,44,9,37053.3,See #98 and 99,3.9125,0,9.378703704,2.611111111,100.6277778,15.90231482,,3,32,51,,,,,.,9.378703704,,9,13,38,2.611111111,,2,22,0,,92
104,1,4,Aomori,Mutsu,Minamitsugaru,M20,,97.45940392,3,89.82771414,5,89.28851627,5,4,6,9193,6,4,3,11.38945673,900,9193,01041,page 138 東北編,,30102.5,298.6168,102315.5,899.592,132418,90712.11052,132418.1,14982.4,117435.7,11725.3,3819660,3257.1,345572,4165232,386.4,134.7,884.2,8.771264,635.7,15866.6,131533.8,12089,5.899495409,71319,-877,12966,56,385,5,848,1211,12483,93,29135,38561,390,2059,12576,67696,12966,69755,82721,2449,80272,1233,1216,41618,38654,42851,39870,0,0,0,42851,39870,82721,80715,41331,39384,71319,41331,39384,80715,,12089,6.676730912,104.9436319,544,363,181,157,105,52,-387,-258,-129,468,233,701,301,267,255,489,0,6716,94970.0916,,,118442,337,4068,4293,193,35,243,0.866,0.517,12,4344,18,022,023,154,425,1410,1324,86,294,172,415,201,242,794,174,1.934210175,29,203,22.56578538,15941,4503,524,5027,70,0,70,4573,524,5097,140127.84,111220.12,94867.63,7194,3226,10420,11252,16939,11994,20463.5,40185,2546,10420,,,,,,,,75,8,6695.7,.,9.975925926,1.118518519,4.386574074,8.773148148,157.8222222,24.25416667,,9,35,8,1.118518519,,1,4,16,4.386574074,,4,13,55,8.773148148,,8,27,50,,21
105,1,5,Aomori,Mutsu,Kitatsugaru,M20,,95.45754814,4,89.5059617,5,87.25352197,5,4,7,13271,4,2,3,21.99698331,690,13271,01051,page 138 東北編,,18076.6,179.319872,90005.4,689.837,108082,69561.05677,108082,12478.7,95603.3,9825.9,2301876,2652.8,257243,2559119,320.4,124.9,753.4,7.473728,320.2,13232.1,107328.6,9197,10.20463195,93852,-691,9888,46,156,3,327,459,9607,122,21791,29596,159,786,9729,51387,9888,52173,62061,945,61116,483,462,31398,29718,31881,30180,0,0,0,31881,30180,62061,60331,30858,29473,93852,30858,29473,60331,,9197,6.559856475,104.6992162,840,486,354,579,354,225,-261,-132,-129,840,579,1419,1501,1285,503,662,145,5081,83572.9113,,,75692,642,4295,5625,,,,,,9.044,4344,1375,011,036,89,64,1118,988,130,262,76,341,98,211,679,114,1.652564301,31,145,21.01945822,11551,2886,299,3185,138,0,138,3024,299,3323,82678.566,68968.113,57147.11,6170,1097,7267,9618,11402,7097,12798,28117,2621,7267,69,52,,,,,34,24,3,1568.25,626,0,0,23.68981481,2.136111111,152.8194444,25.82592592,,,,,,,,,.,23.68981481,,23,24,50,2.136111111,,2,4,54,58,568
106,1,6,Aomori,Mutsu,Kamikita,M20,,87.89434296,5,92.98568862,4,83.46890108,5,5,6,9657,4,2,3,17.77732779,2020,9657,01061,page 145 東北編,,33868.9,335.979488,215511.9,2019.58,249380.8,203648.2807,249380.9,16349.4,233031.5,3884.6,676652,12464.8,547698,1224350,271.1,80.1,849,8.42208,348.4,17198.4,248531.8,8193,6.120224582,50143,173,8020,53,498,32,1039,1061,7394,96,19259,24973,530,2100,7490,44232,8020,46332,54352,2630,51722,1537,1093,26653,25069,28190,26162,0,0,0,28190,26162,54352,54322,28126,26196,50143,28126,26196,54322,,8193,6.630294154,107.367537,370,267,103,656,398,258,286,131,155,665,361,1026,2770,3185,1118,1348,4203,16158,115264.1728,,,26192,285,3944,4340,,,,,,15.3,10,099,01,012,53,15,1411,1174,237,510,125,178,204,157,1029,39,0.193109458,24,63,3.119460482,10761,2940,825,3765,216,59,275,3156,884,4040,54620.248,33113.018,15890.04,5171,1556,6727,16248,11005,4550,10052.5,31803,1293,6727,27,68,,,,,431,2980,1,28.032,1269,10.35185185,1.795833333,26.62962963,0,255.1634259,38.77731481,,10,12,40,1.795833333,,1,28,39,26.62962963,,26,22,40,,,,,,25,1244
107,1,7,Aomori,Mutsu,Shitakita,M20,,82.07409005,5,88.08696709,5,82.0806958,5,5,6,9542,4,1,3,37.67967146,1432,9542,01072,page 145 東北編,,7426.2,73.667904,163095.2,1431.66,170521.4,144364.2231,170521.5,3250.2,167271.3,995,46534,2255.2,68378,114912,67.3,41.6,217.2,2.154624,161.1,3467.4,170304.2,3825,7.368104575,28183,-365,4190,41,197,11,284,502,3880,102,8877,12870,208,786,3982,21747,4190,22533,26723,994,25729,481,513,12757,12972,13238,13485,0,1,1,13238,13486,26724,25324,12058,13266,28183,12058,13266,25324,,3825,6.620653595,90.89401477,2352,1980,372,780,870,110,-1572,-1110,-262,2850,482,3132,311,156,152,95,2524,2362,125579.9509,,,2416,20,2885,2731,,,,,,34,15,1275,015,028,2,32,809,312,497,33,66,77,59,77,673,84,0.586731487,29,113,7.892935474,5052,1369,197,1566,38,5,43,1407,202,1609,6126.215,3510.313,1143.267,615,3035,3650,6361,2411,111,1316.5,8883,540,3650,11,125,045,039,04,,258,391,1,415.18,2462,0,0,39.77777778,0,238.6666667,39.77777778,,,,,,,,,.,39.77777778,,39,28,0,,,,,,98,2364
108,1,8,Aomori,Mutsu,Sannohe,M20,,89.57617162,5,91.9119429,5,87.0902903,5,5,5,25244,4,2,1,26.11304204,1295,25244,01081,120,42953,59085.3,586.126176,67559.8,1294.99,126645.1,130582.8376,126645.2,28305.3,98339.9,5846.6,1339292,22458.7,1113568,2452860,418.3,120.3,1525.5,15.13296,1719.8,29830.8,125119.6,15554,1.003728944,15612,-468,16022,95,822,42,1566,2417,14764,394,33871,44159,864,3983,15158,78030,16022,82013,98035,4847,93188,2388,2459,48635,44553,51023,47012,0,1,1,51023,47013,98036,96672,50003,46669,15612,50003,46669,96672,,15554,6.215250096,107.1439285,2647,1573,1074,1449,812,637,-1198,-761,-437,2385,1711,4096,10652,17730,7383,12682,3242,17982,38218.9218,,,101463,2471,8507,10118,20,25,25,1.5,0.75,12,76,1833,015,021,128,176,2420,2144,276,703,239,262,515,425,1643,92,0.710430196,60,152,11.73754237,15659,5088,1408,6496,117,20,137,5205,1428,6633,123388.47,68017.34,32752.9,10192,1696,11888,16727,25195,6946,19543.5,48868,4134,11888,85,228,,,,,365,2489,4,2879.8,1015,7.159722222,0.031944444,39.29907407,2.815277778,307.3722222,49.30601851,,7,5,45,0.031944444,,0,1,9,39.29907407,,39,10,46,2.815277778,,2,29,21,3,1012
109,1,9,Aomori,Mutsu,Ninohe,M22,,85.10007082,5,88.49101651,5,83.98468173,5,5,,,8,,6,0,1214,,,76,14796,45908,455.40736,139.8,1214.45,46047.8,122461.4299,46047.8,8831.2,37216.6,1283.8,214736,7547.4,355113,569849,341.9,70.7,499.1,4.951072,617.3,9330.3,45548.7,6209,6.858431309,42584,41,6168,44,23,3,47,56,6055,87,13320,16809,26,103,6142,30129,6168,30232,36400,129,36271,70,59,19375,16896,19445,16955,0,0,0,19445,16955,36400,36707,19511,17196,42584,19511,17196,36707,,6209,5.911902078,113.4624331,758,,,1078,,,320,,,,,1836,13021,13533,7189,7088,528,6980,32242.1,,,,,,,20,20,25,0.7,0.7,24,,,,,57,77,731,341,390,50,102,65,95,29,571,56,0.461114085,24,80,6.587344065,6109,1732,239,1971,1653,2485,4138,3385,2724,6109,35826,16242,4024.502,4012,1354,5366,3696,,,,,802,5366,174,135,028,025,,,145,1065,1,1687,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,see #93,
201,2,1,Iwate,Rikuchû,Nishiiwai,M22,Cells with a green background contain data from M23,92.40476482,4,89.7476774,5,87.61187409,5,5,6,4792,6,4,4,11.08592051,593,4792,02011,page 112 東北編,,24366.8,241.718656,295.5,592.626,24662.3,59758.59635,24662.3,7657.6,17004.7,4492.6,1069557,3165,301386,1370943,450.3,242,673.6,6.682112,682.7,8331.2,23988.7,6703,6.344025063,42524,254,6449,38,561,25,934,1529,5774,89,14624,18988,586,2463,5863,33612,6449,36075,42524,3049,39475,1495,1554,20398,19077,21893,20631,0,0,0,21893,20631,42524,43226,22238,20988,42524,22238,20988,43226,,6703,6.448754289,105.9557843,586,,,1258,,,672,,,,,1844,34907,38780,12937,6478,26,4649,14122,,,,,,,20,23,25,1.5,0.75,21,13,,,,67,35,926,731,195,90,157,235,120,129,571,94,1.58616058,74,168,28.34840186,7080,2641,757,3398,1084,2598,3682,3725,3355,7080,81271,37319,20466.3,3830,1308,5138,4406,,732,,5870,1311,5138,94,86,095,12,135,28,5,159,10,30842,0,,,,,-9,,,,,,,,,,,,,,,,,,,,,,
