Year,Raw_Milk,Eggs_Production,Pig_Carcasses,Cattle_Carcasses,Calves_Carcasses,Horses_Carcasses,Sheep_Carcasses,Goats_Carcasses,,
1894,...,...,"1,854","19,527",...,"3,123",...,a) 56,,
1895,...,...,"1,687","24,167",...,"3,460",...,a) 80,,
1896,...,...,"2,175","21,854",...,"4,195",...,...,,
1897,...,...,"2,683","22,471",...,"3,790",...,...,,
1898,...,...,"3,158","23,046",637,"4,202",...,...,,
1899,...,...,"1,456","26,476",558,"4,030",...,a) 56,,
1900,...,...,"2,287","29,604",494,"4,696",...,a) 80,,
1901,...,...,"2,681","25,879",427,"4,060",...,a) 59,,
1902,...,...,"3,564","26,376",420,"4,347",...,a) 55,,
1903,...,...,"3,757","31,087",516,"5,148",...,a) 6,,
1904,...,...,"3,199","36,957",418,"4,247",...,a) 51,,
1905,...,...,"5,013","27,955",282,"4,937",44,13,,
1906,"32,539 ","b) 35,616","4,910","22,990",602,"7,422",35,16,,
1907,"37,802 ","b) 41,970","7,495","24,025",201,"7,219",25,13,,
1908,"39,270 ","b) 45,215","9,113","21,508",244,"6,314",26,11,,
1909,"44,176 ","b) 45,996","7,735","26,200",353,"5,138",23,18,,
1910,"47,918 ","b) 48,235","7,894","37,555",876,"6,134",33,20,,
1911,"50,226 ","b) 49,235","9,573","39,731","1,087","7,093",20,24,,
1912,"51,465 ","b) 48,592","9,111","41,522","1,072","7,160",28,27,,
1913,"51,363 ","b) 48,102","8,605","41,722",960,"7,470",22,33,,
1914,"53,039 ","b) 46,968","9,404","37,621",635,"6,841",15,32,,
1915,"56,096 ","b) 51,725","12,760","43,684",551,"6,963",9,45,,
1916,"57,767 ","b) 60,124","13,284","51,165",570,"9,250",4,40,,
1917,"63,500 ","b) 69,084","12,720","44,732",467,"12,863",4,41,,
1918,"63,037 ","b) 69,238","17,471","35,602",462,"10,971",4,43,,
1919,"62,834 ","b) 69,686","17,126","39,943",544,"8,729",3,45,,
1920,"66,093 ","b) 68,062","20,679","43,002",708,"7,508",7,51,,
1921,"85,240 ","b) 74,429","29,881","47,315","1,179","7,975",5,51,,
1922,"102,946 ","b) 83,554","22,064","48,933","1,607","8,605",8,45,,
1923,"112,462 ","b) 93,091","20,755","51,071","1,237","9,006",6,54,,
1924,"119,681 ","b) 96,951","30,527","51,388","1,153","10,075",8,54,,
1925,"131,683 ","b) 97,183","40,639","50,267","1,052","9,631",15,46,,
1926,"145,742 ","b) 103,865","29,651","49,821","1,045","9,374",10,43,,
1927,"149,191 ","b) 118,895","25,221","47,608","1,068","8,567",13,45,,
1928,"155,576 ","b) 134,882","32,587","50,827","1,343","9,489",17,53,,
1929,"168,761 ","b) 151,709","39,272","49,710","1,238","9,583",17,50,,
1930,"181,917 ","b) 159,273","33,801","43,301","1,135","9,410",24,57,,
1931,"196,755 ","b) 180,495","32,577","49,728","1,323","9,914",23,56,,
1932,"201,839 ","b) 213,558","47,732","56,644","1,419","10,470",22,66,,
1933,"221,513 ","b) 204,533","45,284","55,011","1,443","11,961",27,69,,
1934,"245,702 ","b) 212,104","46,358","50,505","1,375","12,222",27,70,,
1935,"276,575 ","b) 216,521","50,023","52,458","1,565","12,504",30,88,,
1936,"289,558 ","b) 212,239","58,143","55,219","1,814","14,075",28,105,,
1937,"301,934 ","b) 218,579","60,674","65,140","2,247","10,353",47,121,,
1938,"331,255 ","b) 208,310","58,511","69,014","1,701","5,663",43,77,,
1939,"360,062 ","b) 209,338","66,050","72,764","1,293","6,435",64,128,,
1940,"383,546 ","b) 212,145","59,405","78,467","1,861","7,670",61,114,,
1941,"392,221 ","135,950","30,090","69,913","1,342",...,95,163,,
1942,"356,889 ","98,876","23,020","47,251","1,004",...,47,56,,
1943,"382,239 ","66,482","13,879","59,224","1,869",...,22,34,,
1944,"337,500 ","28,595","6,672","43,362","1,935",...,7,14,,
1945,"187,500 ","9,303","2,179","19,246",798,...,3,7,,
1946,"149,366 ","5,695","2,389","41,934",412,"2,082",3,26,,
1947,"160,769 ","6,649","4,909","42,579",315,"9,957",5,62,,
1948,"184,093 ","10,157","12,013","40,966",402,"9,973",5,60,,
1949,"279,544 ",...,"35,572","42,680",760,"8,965",6,29,,
1950,"367,319 ",...,"57,374","76,606","2,221","12,612",51,27,,
1951,"437,699 ","c) 155,523","46,981","67,413","1,728","16,848",71,312,,
1952,"584,161 ","280,529","78,443","71,121","1,690","15,654",176,354,,
1953,"711,819 ","309,022","93,214","80,124","2,188","22,777",341,411,,
1954,"928,577 ","367,787","73,727","84,204","3,184","23,986",462,496,,
